-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::empty_like         0.38%       1.109ms         1.07%       3.148ms       4.465us       0.000us         0.00%       0.000us       0.000us         192 B           0 B     685.37 MB           0 B           705  
                                            aten::split         0.36%       1.062ms         1.28%       3.766ms       9.231us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           408  
                                             aten::mean         0.36%       1.045ms         0.56%       1.633ms      10.884us     483.803us         0.48%     483.803us       3.225us           0 B           0 B       2.07 MB       2.07 MB           150  
                                           aten::matmul         0.32%     934.575us         2.06%       6.051ms      23.184us       0.000us         0.00%      18.249ms      69.918us           0 B           0 B       1.31 GB      -4.50 MB           261  
                                        cudaMemcpyAsync         0.30%     887.504us         0.30%     887.504us      16.435us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            54  
                                Activity Buffer Request         0.28%     824.331us         0.28%     824.331us     412.165us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                        cudaMemsetAsync         0.27%     784.312us         0.27%     784.312us       0.315us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2490  
                                            aten::rsqrt         0.26%     767.125us         0.44%       1.302ms       8.857us     152.638us         0.15%     152.638us       1.038us           0 B           0 B       2.06 MB       2.06 MB           147  
                                 cudaDeviceGetAttribute         0.26%     752.844us         0.26%     752.844us       0.207us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          3636  
                                              aten::sub         0.23%     681.310us         0.33%     955.553us       7.584us      40.029us         0.04%      40.029us       0.318us       3.45 MB       3.45 MB     162.00 KB     162.00 KB           126  
                                          aten::nonzero         0.22%     651.661us         0.35%       1.028ms       8.790us      23.228us         0.02%      23.228us       0.199us       1.03 KB       1.03 KB      24.00 KB           0 B           117  
                                            aten::chunk         0.21%     604.114us         1.49%       4.370ms      10.711us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           408  
                                              aten::neg         0.18%     520.462us         0.31%     906.405us       9.442us     151.491us         0.15%     151.491us       1.578us           0 B           0 B      73.27 MB      73.27 MB            96  
                                   cudaFuncSetAttribute         0.16%     477.448us         0.16%     477.448us       0.931us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           513  
                                           aten::arange         0.14%     413.860us         0.52%       1.514ms      14.846us      33.954us         0.03%      67.908us       0.666us           0 B           0 B     195.00 KB           0 B           102  
                                           aten::select         0.13%     368.944us         0.15%     435.253us       2.845us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           153  
                                          aten::dropout         0.12%     358.430us         0.12%     358.430us       0.226us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1584  
                                              aten::all         0.11%     322.405us         0.16%     484.546us      13.460us      64.864us         0.06%      64.864us       1.802us           0 B           0 B      18.00 KB      18.00 KB            36  
                                              aten::exp         0.10%     306.789us         0.17%     499.963us      10.416us      50.783us         0.05%      50.783us       1.058us           0 B           0 B      84.00 KB      84.00 KB            48  
                                            aten::clone         0.10%     291.662us         0.79%       2.335ms      13.655us       0.000us         0.00%       1.119ms       6.543us           0 B           0 B     382.50 MB           0 B           171  
                                               aten::ge         0.10%     290.529us         0.15%     444.413us      12.345us      37.221us         0.04%      37.221us       1.034us           0 B           0 B      36.00 KB      36.00 KB            36  
                                             aten::div_         0.09%     252.926us         0.09%     252.926us      42.154us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                              aten::sin         0.08%     248.703us         0.15%     452.427us       8.871us      74.247us         0.07%      74.247us       1.456us           0 B           0 B       1.97 MB       1.97 MB            51  
                                              aten::cos         0.08%     245.641us         0.15%     434.508us       8.520us      76.287us         0.08%      76.287us       1.496us           0 B           0 B       1.97 MB       1.97 MB            51  
                                  cudaStreamSynchronize         0.08%     234.911us         0.08%     234.911us       4.350us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            54  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 293.819ms
Self CUDA time total: 101.654ms
