distribution,variant,quantize_attention,quantize_mlp,final_output_mse,logits_std_teacher,logits_std_student,logits_std_abs_error,attention_js,entropy_abs_error,post_o_rms_teacher,post_o_rms_student,post_o_rms_abs_error,output_mse
standard_normal,mlp_only,False,True,0.014132020995020866,1.0053610801696777,1.0053610801696777,0.0,0.0,0.0,0.3062035143375397,0.3062035143375397,0.0,0.0
standard_normal,attention_only,True,False,0.007112756371498108,1.0053610801696777,1.0196189880371094,0.01425790786743164,0.003106405958533287,0.012270927429199219,0.3062035143375397,0.3113653063774109,0.005161792039871216,0.004745759069919586
standard_normal,attention_and_mlp,True,True,0.021179912611842155,1.0053610801696777,1.0196189880371094,0.01425790786743164,0.003106405958533287,0.012270927429199219,0.3062035143375397,0.3113653063774109,0.005161792039871216,0.004745759069919586
standard_normal,upstream_drift_fp_attention,False,False,0.0,1.0053610801696777,1.0053610801696777,0.0,0.0,0.0,0.3062035143375397,0.3062035143375397,0.0,0.0
vla_like,mlp_only,False,True,43900.2265625,173.91554260253906,173.91554260253906,0.0,0.0,0.0,45.76517105102539,45.76517105102539,0.0,0.0
vla_like,attention_only,True,False,108262.65625,173.91554260253906,56.36777877807617,117.54776382446289,0.38414904475212097,0.0292833149433136,45.76517105102539,25.688547134399414,20.076623916625977,1748.3763427734375
vla_like,attention_and_mlp,True,True,111861.4609375,173.91554260253906,56.36777877807617,117.54776382446289,0.38414904475212097,0.0292833149433136,45.76517105102539,25.688547134399414,20.076623916625977,1748.3763427734375
vla_like,upstream_drift_fp_attention,False,False,270264.625,173.91554260253906,698.4779663085938,524.5624237060547,0.2521926164627075,0.038929522037506104,45.76517105102539,85.37047576904297,39.60530471801758,3869.02392578125
