-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     895.373us         0.88%     895.373us       9.327us           0 B           0 B           0 B           0 B            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     891.310us         0.87%     891.310us       1.017us           0 B           0 B           0 B           0 B           876  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     876.680us         0.86%     876.680us      10.823us           0 B           0 B           0 B           0 B            81  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     837.441us         0.82%     837.441us       2.878us           0 B           0 B           0 B           0 B           291  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     704.420us         0.69%     704.420us      19.567us           0 B           0 B           0 B           0 B            36  
                                             aten::gelu         0.71%       2.724ms         1.24%       4.712ms       9.817us     682.098us         0.67%     682.098us       1.421us           0 B           0 B     667.13 MB     667.13 MB           480  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     682.098us         0.67%     682.098us       1.421us           0 B           0 B           0 B           0 B           480  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     647.337us         0.63%     647.337us       1.575us           0 B           0 B           0 B           0 B           411  
                                             aten::silu         0.66%       2.526ms         1.16%       4.415ms       9.434us     643.128us         0.63%     643.128us       1.374us           0 B           0 B     240.35 MB     240.35 MB           468  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 381.097ms
Self CUDA time total: 102.046ms
