-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     894.848us         0.88%     894.848us       9.321us           0 B           0 B           0 B           0 B            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     893.355us         0.88%     893.355us       1.020us           0 B           0 B           0 B           0 B           876  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     875.620us         0.86%     875.620us      10.810us           0 B           0 B           0 B           0 B            81  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     834.746us         0.82%     834.746us       2.869us           0 B           0 B           0 B           0 B           291  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     702.083us         0.69%     702.083us      19.502us           0 B           0 B           0 B           0 B            36  
                                             aten::gelu         0.87%       2.552ms         1.55%       4.554ms       9.487us     680.298us         0.67%     680.298us       1.417us           0 B           0 B     667.13 MB     667.13 MB           480  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     680.298us         0.67%     680.298us       1.417us           0 B           0 B           0 B           0 B           480  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     648.162us         0.64%     648.162us       1.577us           0 B           0 B           0 B           0 B           411  
                                             aten::silu         0.77%       2.265ms         1.39%       4.092ms       8.743us     645.040us         0.63%     645.040us       1.378us           0 B           0 B     240.35 MB     240.35 MB           468  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     645.040us         0.63%     645.040us       1.378us           0 B           0 B           0 B           0 B           468  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     500.192us         0.49%     500.192us       2.605us           0 B           0 B           0 B           0 B           192  
                                             aten::mean         0.36%       1.045ms         0.56%       1.633ms      10.884us     483.803us         0.48%     483.803us       3.225us           0 B           0 B       2.07 MB       2.07 MB           150  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     476.958us         0.47%     476.958us       2.446us           0 B           0 B           0 B           0 B           195  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     473.371us         0.47%     473.371us       3.220us           0 B           0 B           0 B           0 B           147  
                                              aten::cat         1.51%       4.433ms         1.86%       5.470ms      23.079us     453.133us         0.45%     453.133us       1.912us      26.64 MB      26.64 MB     146.84 MB     146.84 MB           237  
                                              aten::div         1.06%       3.100ms         1.75%       5.130ms      10.492us     379.780us         0.37%     379.780us       0.777us       4.50 MB       4.50 MB      85.65 MB      85.65 MB           489  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     363.541us         0.36%     363.541us       0.891us           0 B           0 B           0 B           0 B           408  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     359.655us         0.35%     359.655us       0.908us           0 B           0 B           0 B           0 B           396  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     334.209us         0.33%     334.209us       4.642us           0 B           0 B           0 B           0 B            72  
                                              aten::pow         0.38%       1.129ms         0.59%       1.729ms      11.764us     300.424us         0.30%     300.424us       2.044us           0 B           0 B     574.85 MB     574.85 MB           147  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     300.424us         0.30%     300.424us       2.044us           0 B           0 B           0 B           0 B           147  
void pytorch_flash::flash_fwd_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     261.406us         0.26%     261.406us      21.784us           0 B           0 B           0 B           0 B            12  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     238.722us         0.23%     238.722us       2.947us           0 B           0 B           0 B           0 B            81  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     189.025us         0.19%     189.025us       2.625us           0 B           0 B           0 B           0 B            72  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     185.696us         0.18%     185.696us       5.158us           0 B           0 B           0 B           0 B            36  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     185.186us         0.18%     185.186us       3.858us           0 B           0 B           0 B           0 B            48  
                                            aten::rsqrt         0.26%     767.125us         0.44%       1.302ms       8.857us     152.638us         0.15%     152.638us       1.038us           0 B           0 B       2.06 MB       2.06 MB           147  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     152.638us         0.15%     152.638us       1.038us           0 B           0 B           0 B           0 B           147  
                                              aten::neg         0.18%     520.462us         0.31%     906.405us       9.442us     151.491us         0.15%     151.491us       1.578us           0 B           0 B      73.27 MB      73.27 MB            96  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 293.819ms
Self CUDA time total: 101.654ms
